Mon Nov 05 21:58:28 +0000 2018,DrColumbia987,"VOTE FOR CHELE FARLEY 
SAVE NYS
Vote out Gillibrand who is linked to sex trafficking &amp; spying for Russia

MAKE NEW… https://t.co/sqsp0927R2"
Mon Nov 05 21:57:03 +0000 2018,willisdayjr,"RT @TaraARae: Just met Sen. Gillibrand and Jess Fassler in Watertown, NY where she spoke highly of Tedra Cobb for Congress.  I see a High f…"
Mon Nov 05 21:55:58 +0000 2018,tim45Prez,"RT @olney_dan: @realDonaldTrump 
VOTE for @marcmolinaro to replace Cuomo.
VOTE for @CheleFarley to replace Gillibrand
NYS  TAXPAYERS deserv…"
Mon Nov 05 21:52:57 +0000 2018,DrColumbia987,"VOTE OUT GILLIBRAND

She is linked too CLOSE to NXIVM sex cult and RUSSIAN SPY
Her father was a top advisor to Alba… https://t.co/XAbFAWoKAc"
Mon Nov 05 21:49:59 +0000 2018,notcapnamerica,"RT @notcapnamerica: Kamala Harris (Calif.) and Kirsten Gillibrand (N.Y.) — would all beat Trump, too. 

Of these three women, Harris would…"
Mon Nov 05 21:46:49 +0000 2018,maesgochile,"PERO JOSHUA ES EL HIJO DE ERIN RUTNIK TSCHANTRET, HERMANA MENOR DE LA SENADORA DEMOCRATA KRISTEN GILLIBRAND… https://t.co/K2uCZy5PHP"
Mon Nov 05 21:46:36 +0000 2018,fire_elder,@SenGillibrand Just a statement to continue the murder of unborn children how many more ladies will stand before a… https://t.co/HypQIyan4x
Mon Nov 05 21:46:14 +0000 2018,DrColumbia987,"WOW
Not only was her father was a top advisor to Albany-NY sex cult, NXIVM
Her nephew was the American contact in a… https://t.co/txjEbbGKFC"
Mon Nov 05 21:37:34 +0000 2018,willthomas_usa,"@alon_levy As far as I understand it, Kirsten Gillibrand is better at seeing which way the wind is blowing than eit… https://t.co/VfC8DstD1c"
Mon Nov 05 21:32:10 +0000 2018,Snapefan38,"@katalin_pota @PollyTickal And no doubt the Dumbocrats will do the same BS in 2020 to ensure their corrupt, corpora… https://t.co/qcDTiYBAso"
Mon Nov 05 21:27:36 +0000 2018,iamthecoolest1,"@SenGillibrand -STUPID SEN. GILLIBRAND, U R SO PROUD OF DOING NOTHING FOR TWO YEARS!! DISGRACEFUL! U SHOULD BE ASHA… https://t.co/yBbtBeGvtr"
Mon Nov 05 21:25:31 +0000 2018,Rlasagna27,RT @bernieandsid: Vote for her please-Please do NOT let Gillibrand win! https://t.co/2Hq9UxMGyp
Mon Nov 05 21:17:54 +0000 2018,olney_dan,"@Mashbird315 @marcmolinaro Bless you. 
VOTE for @marcmolinaro to replace Cuomo
VOTE for @CheleFarley to replace Gillibrand"
Mon Nov 05 21:17:08 +0000 2018,Jim_Peoples_,"RT @michaeltrueman8: Hey Sen. Gillibrand, 
Your father must be guilty, no need a trial.
How did you not know 
The sins committed by your ow…"
Mon Nov 05 21:11:24 +0000 2018,lazaccaro,"Gillibrand, is done pushing NY around. https://t.co/JngZBSbEjX"
Mon Nov 05 21:10:52 +0000 2018,olney_dan,"@GOPChairwoman @ScottforFlorida Ronna, could you and GOP throw some sunshine on @CheleFarley that is running agains… https://t.co/boa1JyMiMe"
Mon Nov 05 21:06:53 +0000 2018,RobertS71494497,@SenGillibrand And there you go again woman only gillibrand posting her sexist views for all to see
Mon Nov 05 21:04:41 +0000 2018,Schmolioot,"@BaseyCrock As Virgil said, write in 2002 Synema lol. What the hell happened? Only hope is that she’s the new Gilli… https://t.co/Ae6gFpd0Ye"
Mon Nov 05 21:01:12 +0000 2018,osPatriot,"@SenGillibrand ""Standing up for the most VULNERABLE AMERICANS""~Kirsten Gillibrand, REALLY, Kirsten??? Nothing more… https://t.co/uH6AsYzNjO"
Mon Nov 05 21:01:08 +0000 2018,JMizzle36,@nolesfan2011 Nah it’s a reverse gillibrand. It’s called representing the people who will vote for you
Mon Nov 05 21:00:13 +0000 2018,bolstadbrat,"Daily reminder that Sen. Gillibrand made millions as a partner of Boies Schiller &amp; Flexner, the democrat law firm t… https://t.co/EWJjmjwqIA"
Mon Nov 05 20:56:34 +0000 2018,BaloneTone,@SenGillibrand So should we trust Gillibrand who lied about Kavanaugh!!!? Tried to RUIN A MAN’S LIFE!!!! Sicko! NOW THAT’S EXTREME!
Mon Nov 05 20:54:26 +0000 2018,howardmood449,"John James to the senate Stabenow to Venezuela. In Minnesota send Ellison and IIhan to jail, In New York Gillibrand… https://t.co/D2fws80JEn"
Mon Nov 05 20:53:52 +0000 2018,PGHospice,"IT""S VOLUNTEER MANAGER DAY TODAY!!!! Big shout out and thank you to Catherine Gillibrand Gladwin for all the love a… https://t.co/EWuWgoVdz0"
Mon Nov 05 20:48:41 +0000 2018,FaxMercury,"RT @BostonJerry: As far as I'm concerned, the only Dems who could potentially be a better 2020 candidate than Beto are Kamala Harris and Ki…"
