Date,ID,Tweet,Party
Fri Nov 02 21:08:48 +0000 2018,MNN59,[WATCH] The @MNN59 #RaceToRepresent team breaks down the upcoming #NYElection for NY Senate #District26 which is ma… https://t.co/UfdjuQYtRM,ind
Fri Nov 02 01:35:55 +0000 2018,ladeitz,@LWVSSMC we’re excellent! They provided NY’ers with a fair debate. The only Real NY Governor Debate! @CBSNewYork… https://t.co/UWUZ9VadJ1,ind
Fri Oct 26 15:48:33 +0000 2018,Tomcat14201,RT @Liberty_Upstate: #StatenIsland #NYC #Election218 #NYElection #LarrySharpe #Sharpe4Gov https://t.co/71vePQYWRz,ind
Fri Oct 26 00:50:31 +0000 2018,Liberty_Upstate,#StatenIsland #NYC #Election218 #NYElection #LarrySharpe #Sharpe4Gov https://t.co/71vePQYWRz,ind
Thu Oct 25 14:58:44 +0000 2018,theNYCalliance,"Reminder: Notify New York Employees Of Their Voting Rights --
New York employers are reminded to post a notice sett… https://t.co/QFapzNATmU",ind
Tue Oct 23 18:07:23 +0000 2018,MNN59,"Before you head to the polls on November 6, sign up for #RaceToRepresent for all of your #NYElection coverage. Sign… https://t.co/cmjiiCsrGQ",ind
Tue Oct 23 14:30:51 +0000 2018,OD_Condon,The @nunsonthebus are holding a press conference in New Hartford near @claudiatenney's office this morning ahead of… https://t.co/UAhUCMJjLl,ind
Mon Oct 22 15:06:37 +0000 2018,MNN59,Sign up for #RaceToRepresent for your up-to-the-minute #NYElection coverage. Don't miss your chance to vote on Nove… https://t.co/xc6pWPDuVD,ind
Fri Oct 19 18:15:15 +0000 2018,ericsegota14,"@LarrySharpe hope to see you soon Larry! I know the chances are good, since you actually have events, unlike… https://t.co/bEY6tPbgKl",ind
Tue Oct 16 21:01:41 +0000 2018,MNN59,"Look no further than #RaceToRepresent for your #NYElection coverage. Races for #Governor, #LtGovernor, #Comptroller… https://t.co/6N2aR9QlJD",ind
Mon Oct 15 15:12:08 +0000 2018,StevePoet,There is a choice in #NYElection end the #statuscuomo https://t.co/j0j3M60Rr3,rep
Fri Oct 12 05:08:27 +0000 2018,EvelynLRinaldi,RT @susannecraig: The scene @RobAstorino HQ as election is called for Gov.  Andrew M Cuomo. #NYElection http://t.co/rU7XN0fMSc,dem
Fri Nov 02 21:20:42 +0000 2018,EllieMoose516,RT @Brooks4LINY: Thanks to County Legislator Kevan Abrahams for knocking doors in Freeport with me! #nassaucounty #newyork #election2018 #v…,dem
Fri Nov 02 21:08:09 +0000 2018,vivmariefrances,"RT @BretBaier: Join us in #NewYork for #Election2018 

@FoxNews https://t.co/pN2aZ2JC9i",rep
Fri Nov 02 20:23:35 +0000 2018,Brooks4LINY,Thanks to County Legislator Kevan Abrahams for knocking doors in Freeport with me! #nassaucounty #newyork… https://t.co/RV2yH9x4AQ,dem
Fri Nov 02 17:09:14 +0000 2018,Joeanthony_nyc,#Hope #NY #NYC Who is running for #Election2018 in #NewYork? #Youngins #Millennials one person makes a difference d… https://t.co/sAw9nodkFb,ind
Fri Nov 02 16:04:15 +0000 2018,BoboChimpan,"RT @fromthebarrage: Tonight on @fromthebarrage it’s candidate for New York State Senate, John Liu! tommyrockstar pwalshj frozen_envelope @k…",ind
Fri Nov 02 15:53:39 +0000 2018,DanaCheuka,"RT @SuMoh7: 🔁#Election2018 #NewYork CD24 #WinBlue

Support DANA BALTER #NY24, &amp; @DemsWork4USA
👉https://t.co/xA7fWJh5FW

Stop Katko. #YesWeC…",dem
Fri Nov 02 15:37:34 +0000 2018,ryanmauro,"What #Broome County voters NEED TO KNOW about Matthew T. Ryan, the former #Binghamton mayor running for Sheriff.… https://t.co/ELaJhO2wYr",ind
Fri Nov 02 14:47:37 +0000 2018,fromthebarrage,"Tonight on @fromthebarrage it’s candidate for New York State Senate, John Liu! tommyrockstar pwalshj frozen_envelop… https://t.co/Cbe5Ma9HF5",ind
Fri Nov 02 12:23:47 +0000 2018,SuMoh7,"RT @SuMoh7: #NY11 Vote for MAX ROSE 🙏#Election2018 Nov 6🙏

#NewYork #NYpol #NYC #NYpolitics #StatenIsland #Brooklyn #BayRidge #BathBeach #D…",dem
Fri Nov 02 12:23:35 +0000 2018,SuMoh7,"RT @SuMoh7: RT! #Election2018 #NewYork CD11 #WinBlue

Support MAX ROSE #NY11, &amp; @DemsWork4USA
#Veteran #Healthcare
👉https://t.co/XGyXtQFCUB…",dem
Fri Nov 02 12:23:23 +0000 2018,SuMoh7,"RT @SuMoh7: RT! #Election2018 NY-11 #FlipItBlue #WinBlue

Support MAX ROSE for #NY11,&amp; @DemsWork4USA
👉https://t.co/kyyo9zm1Bx

Defeat Dan D…",dem
Fri Nov 02 12:07:49 +0000 2018,FiredUpCarol,"RT @SuMoh7: ☑️Vote for NATE McMURRAY #NY27🗳️#Election2018 Nov 6🙏

#YesWeCan #FlipItBlue

#NYpol #NYpolitics #NewYork

#Erie #Genesee #Livin…",dem
Fri Nov 02 12:04:57 +0000 2018,SuMoh7,"RT @SuMoh7: 🔁#NewYork CD27 #Election2018 #WinBlue

Support NATE McMURRAY #NY27, &amp; @DemsWork4USA
#TownSuperv, Lawyer, Int'l Expert, Fulbrigh…",dem
Fri Nov 02 05:34:24 +0000 2018,desertroseshell,"RT @SuMoh7: RT! #Election2018 #NewYork #CD23 #WinBlue

Support TRACY MITRANO #NY23, &amp; @DemsWork4USA
#InternetSecurity #Lawyer #Prof
More👉ht…",dem
Fri Nov 02 05:32:28 +0000 2018,desertroseshell,"RT @SuMoh7: RT! #Election2018 #NewYork CD21 #WinBlue

Support TEDRA COBB #NY21,&amp; @DemsWork4USA
#Entrepreneur #Coach
More👉https://t.co/S5WQa…",dem
Fri Nov 02 05:32:23 +0000 2018,desertroseshell,"RT @SuMoh7: RT! #NewYork CD12 #Election2018 #WinBlue

Support Rep. CAROLYN MALONEY #NY12, &amp; @DemsWork4USA
More 👉https://t.co/f6jhwHv8sv

#Y…",dem
Fri Nov 02 05:30:42 +0000 2018,desertroseshell,"RT @SuMoh7: RT! #Election2018 #NewYork CD1 #WinBlue

Support PERRY GERSHON #NY01, &amp; @DemsWork4USA
More👉https://t.co/Pwz12tpKXr

Stop Lee Ze…",dem
Thu Nov 01 22:10:50 +0000 2018,SuMoh7,"RT @DemsWork4USA: 🔁#Election2018 #NewYork CD24 #WinBlue

Support DANA BALTER #NY24, &amp; @DemsWork4USA
👉https://t.co/5EhIbtRRxt

Stop Katko. #…",dem
