Date,ID,Tweets,Party
Sun Nov 04 19:06:03 +0000 2018,The_Citizen,Sen. Kirsten Gillibrand tells Syracuse crowd: Dana Balter 'will fight for you' in Congress https://t.co/OkWnSK93gT https://t.co/DutCdGYmQj,
Sun Nov 04 19:05:45 +0000 2018,mrjinks56,"@charliekirk11 Great job Gov Cuomo &amp; Mr. Mayor, Kirsten gillibrand and Chuck Schumer will fix the problem Vote thes… https://t.co/BAl1jGz7Is",
Sun Nov 04 19:04:44 +0000 2018,ektcct,@argojay1_jason @SenGillibrand Disagree. Liberty and equality are core American values and it is for that Gillibrand fights.,
Sun Nov 04 19:02:30 +0000 2018,aman001234,RT @Gillibrand_Sch: One of our #RemembranceDay rocks had been left in New York! If you find it please please tweet us telling us who and wh…,
Sun Nov 04 19:02:17 +0000 2018,daisie_blasie,"@Margoandhow @Roxipants In Chicago,Daley Machine refined this to an art, as did Dem. Corning Machine in my town,Albany(Noonan/Gillibrand)",
Sun Nov 04 19:00:52 +0000 2018,KaylJeff,"Intellectually, Sen. Silly Gillibrand can’t hold a candle to Ms. Farley. Unfortunately, NYC is full of idiot-masoch… https://t.co/tHyAhBTYYX",
Sun Nov 04 18:58:49 +0000 2018,antob37,A very excited Maisie moo with her great fire of London model ready for tomorrow ⁦@GPSHolly⁩ ⁦@Gillibrand_Sch⁩ https://t.co/DvyqrL4oXP,
Sun Nov 04 18:54:52 +0000 2018,PolStatsUS,"New York senate election voting intention

Kirsten Gillibrand (D): 60%
Chele Farley (R): 32%

11/3 - (Research Co)… https://t.co/jCVC7llkCW",
Sun Nov 04 18:52:05 +0000 2018,icy464,"Good afternoon, stop saying Beto 2020. Not only do we not know the results of Texas, we also have other Dems who ar… https://t.co/2FZx7sDP6L",
Sun Nov 04 18:43:38 +0000 2018,RubyTuesdayWedn,EXCLUSIVE: Opponent Chele Farley Demands Sen. Kirsten Gillibrand Return Money from Firm Led by Longtime Harvey Wein… https://t.co/GwkKzMcwLv,
Sun Nov 04 18:39:06 +0000 2018,lpk1657,@kcostello1232 @SenGillibrand Move on please. You can choose to be negative but that solves nothing. Better I think… https://t.co/YydRo2Qn9z,
Sun Nov 04 18:38:22 +0000 2018,NormIgloo,"@SenGillibrand What an ""out for yourself"" flip-flopping hypocrite you are.
https://t.co/5DMeltNLn9",
Sun Nov 04 18:35:32 +0000 2018,gradyslady,"RT @Politics_Polls: #NYsen:
Gillibrand (D) 58% (+23)
Farley (R) 35%

@SienaResearch 10/28-11/1
https://t.co/eoWR47kMy3",
Sun Nov 04 18:32:34 +0000 2018,NewRightNetwork,"New post: ""New York Midterms: Vote for Chele Farley for U.S. Senate to Unseat Kirsten Gillibrand"" https://t.co/JyIZKYk0kV",
Sun Nov 04 18:31:04 +0000 2018,VVSaichek,"RT @KaivanShroff: Republicans hired a female lawyer for the Kavanaugh-Ford hearing.

Democrats also have female lawyers present:

SENATOR B…",
Sun Nov 04 18:29:06 +0000 2018,karenleesmith,https://t.co/ZTTa0po7I9,
Sun Nov 04 18:22:55 +0000 2018,Kathryn16847016,"RT @pheonix42024: @adamcbest @JeriLRyan Planned parenthood donations to dems this cycle senate

Sherrod brown Oh  31k
Claire McCaskill Mo 2…",
