Fri Nov 02 21:59:38 +0000 2018,DannyOcion,RT @ShaneGoldmacher: NEW: Gillibrand to campaign across NY for Democratic congressional challengers in final days. Stops for Antonio Delgad…
Fri Nov 02 21:58:57 +0000 2018,DavidJW65112963,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:58:42 +0000 2018,Nikita_KAG,"RT @HikindDov: Where did this story go?  &gt; Dov Hikind a Democratic Jew said Today he is shocked   
FOR SHAME: Senator Gillibrand Insults Or…"
Fri Nov 02 21:58:24 +0000 2018,theabundantgift,"RT @IsraelNewsLinks: Democrats O’Rourke, Harris and Gillibrand Spend Most on Twitter Ads https://t.co/zEyyU2aTum via @Newsbusters https://t…"
Fri Nov 02 21:56:57 +0000 2018,Amie2010teo,"RT @Sheasma: Democrats O’Rourke, Harris and Gillibrand Spend Most on Twitter Ads https://t.co/M6yV93gvxz"
Fri Nov 02 21:56:55 +0000 2018,ninetyniners,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:56:45 +0000 2018,ahanwadi,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:56:43 +0000 2018,auds754,RT @nationalhorizon: SPOTTED in New York City: Do Nothing Gillibrand billboards around the city showing her only real accomplishment: renam…
Fri Nov 02 21:55:01 +0000 2018,julynewmoon,"@davidsirota ardy had him 
 Avenatti 
 Biden
 Bloomberg 
  Booker 
 Sherrod Brown 
 Duckworth
 Gillibrand 
 Kaine… https://t.co/boV1vzwQKI"
Fri Nov 02 21:54:59 +0000 2018,toreilly,"Beto O‘Rourke, Kamala Harris, and Kirsten Gillibrand Top 3 Twitter Political Advertisers | Breitbart… https://t.co/X84eWXdPIp"
Fri Nov 02 21:54:57 +0000 2018,SkippyManuel,RT @nationalhorizon: SPOTTED in New York City: Do Nothing Gillibrand billboards around the city showing her only real accomplishment: renam…
Fri Nov 02 21:54:40 +0000 2018,Senor_Cartmenez,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:54:20 +0000 2018,jaydesh7,"@jpmomof5 No no, Kristin Gillibrand. That’s who you wrote in your previous comment lol. Did you mean to say McKaskill??"
Fri Nov 02 21:53:56 +0000 2018,grigg_dana,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:53:38 +0000 2018,seankelly014,RT @ShaneGoldmacher: NEW: Gillibrand to campaign across NY for Democratic congressional challengers in final days. Stops for Antonio Delgad…
Fri Nov 02 21:53:35 +0000 2018,mapocoloco,RT @ShaneGoldmacher: NEW: Gillibrand to campaign across NY for Democratic congressional challengers in final days. Stops for Antonio Delgad…
Fri Nov 02 21:53:22 +0000 2018,ShaneGoldmacher,NEW: Gillibrand to campaign across NY for Democratic congressional challengers in final days. Stops for Antonio Del… https://t.co/MYT7cRXssl
Fri Nov 02 21:49:35 +0000 2018,BigBertieT,RT @nationalhorizon: SPOTTED in New York City: Do Nothing Gillibrand billboards around the city showing her only real accomplishment: renam…
Fri Nov 02 21:49:19 +0000 2018,PauseNet,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:49:02 +0000 2018,seniorpupmama,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:47:22 +0000 2018,mweber1228,"RT @djsuperstarjr: Our Democratic Nominee for Governor @BenJealous
has been ENDORSED BY:
President Obama
Vice President Biden
U.S. Senators…"
Fri Nov 02 21:46:02 +0000 2018,malinicorrea,"@nationalhorizon Gillibrand fights and has always fought for our rights as Americans, and specifically for women wh… https://t.co/7DUc8pz8gv"
Fri Nov 02 21:44:42 +0000 2018,LorraineThorp15,"RT @BenJealous: Proud to be endorsed by:
Barack Obama
Barbara Mikulski 
Ben Cardin
Bernie Sanders
Chris Van Hollen
Cory Booker
Elizabeth Wa…"
Fri Nov 02 21:44:22 +0000 2018,Libra5405,"RT @Sheasma: Democrats O’Rourke, Harris and Gillibrand Spend Most on Twitter Ads https://t.co/M6yV93gvxz"
Fri Nov 02 21:42:20 +0000 2018,crocboy,"RT @JohnnyB371: ""Another Gillibrand no-show. When it comes to standing up for New Yorkers here on Long Island or elsewhere around the state…"
