Date,ID,Tweet,Party
Mon Nov 05 21:47:01 +0000 2018,JasonElan,.@SteveBellone and @commoncauseny's Susan Lerner have said local governments like Suffolk needed to enact their own… https://t.co/6p1d6FP8kp,dem
Mon Nov 05 21:37:29 +0000 2018,TUCapCon,GOP #NYSenate candidate Daphne Jordan changes her day job and spokesman won't say why. https://t.co/Q66Dfo8Vog,rep
Mon Nov 05 21:26:35 +0000 2018,bethicajess,"RT @KathyHochul: There is too much at risk – we must flip the @NYSenate. By electing @JenMetzgerNY to represent the Hudson Valley, she will…",dem
Mon Nov 05 21:07:48 +0000 2018,KathyHochul,"We need more champions for women in the @NYSenate who will represent issues that matter to us:

✔️Child care
✔️Repr… https://t.co/nw3hJrFFZg",dem
Mon Nov 05 19:56:19 +0000 2018,jsd22663,"@DavidWa07420264 @IngrahamAngle Here you go pick one:

https://t.co/oIUKefvPKl…

https://t.co/8Faz9LaPwd…

https://t.co/88SIcLWEph…",ind
Mon Nov 05 19:40:33 +0000 2018,chetwhye,RT @DemeterKristen: Why do I care so much about the tip credit @NYGovCuomo @NYSLabor @BobDuffyROC @NYSenDems @NYSenate? Because the lies ab…,dem
Mon Nov 05 19:32:13 +0000 2018,WarwickNYDems,"RT @LtGovHochulNY: New York is one of 13 states that does not offer #EarlyVoting.

We need voting reform to ensure access and equal opportu…",ind
Mon Nov 05 19:25:47 +0000 2018,regan11218lane,"New York Voters
The NYSenate needs to be firmly blue, that is up to you.

#VoteBlue4NewYork",dem
Mon Nov 05 18:46:08 +0000 2018,ta20daly,"RT @eleanorslegacy: Yes, and when flipping a single seat means @AndreaSCousins will become the first woman and first woman of color to lead…",dem
Mon Nov 05 18:35:42 +0000 2018,SenatorFunke,"#VeteransDay is 1 week from today. Earlier this year, I had the honor of naming Major @peterglennon to the Senate H… https://t.co/LccqnRb4Py",ind
Mon Nov 05 18:02:55 +0000 2018,SenatorParker,RT @GaryGinsburg: Live shot of New York voters ahead of #ElectionDay as they get ready to support #NYSenate Dem candidates in districts thr…,dem
Mon Nov 05 18:02:26 +0000 2018,GaryGinsburg,Live shot of New York voters ahead of #ElectionDay as they get ready to support #NYSenate Dem candidates in distric… https://t.co/eqBto3IoIy,dem
Mon Nov 05 17:59:11 +0000 2018,jsd22663,"@Dcdave11 @IngrahamAngle Don’t like that source...here you go pick one
https://t.co/fupA8rGlHz… https://t.co/zAcA5GQng0",ind
Mon Nov 05 17:54:14 +0000 2018,dorobuk,"RT @maawallace: ""Wild horses couldn't keep me from the polls on Tuesday."" -- the best thing I heard knocking doors for @Gaughran4Senate wit…",ind
Mon Nov 05 17:53:48 +0000 2018,ma_nyc7,"@AndreaSCousins leading the @NYSenate will be a major victory for all women, and men. https://t.co/MC9xj1x4iv",dem
Mon Nov 05 17:29:31 +0000 2018,Ian_CNY,".@AntonacciCPA is definitely winning the award for dirtiest campaign in CNY.
First fake photoshopping, now leafleti… https://t.co/hr9ALVLEE5",ind
Mon Nov 05 17:25:31 +0000 2018,stjohnsCDC,RT @nwmalinowski: If Dems take control of the Senate tomorrow - we expect them to champion their remarkably good criminal justice reform pa…,dem
Mon Nov 05 17:20:57 +0000 2018,nook706,RT @TUCapCon: One seat. That's all it takes to control the #NYSenate. https://t.co/k3vtW8FGEC,dem
Mon Nov 05 16:38:07 +0000 2018,KathyHochul,"There is too much at risk – we must flip the @NYSenate. By electing @JenMetzgerNY to represent the Hudson Valley, s… https://t.co/NB3ALOuV7t",dem
Mon Nov 05 16:04:40 +0000 2018,lynncarlletti,RT @senatorlanza: The new auxiliary lane between Victory Blvd. and Muldoon Ave/Arden Ave. will reduce congestion along this notoriously bot…,ind
Mon Nov 05 16:00:01 +0000 2018,TUCapCon,One seat. That's all it takes to control the #NYSenate. https://t.co/k3vtW8FGEC,dem
Mon Nov 05 15:46:52 +0000 2018,JSandersNYC,"#VoteTuesday Senator Sanders Slams Trump’s Alleged Voter Suppression Tactics, Encourages All Americans to Vote https://t.co/U2vMTEg04y",ind
Mon Nov 05 15:16:55 +0000 2018,NASWNYC,RT @Brianr8278: Thank you Councilman @CMReynoso34 !! This is why @NASWNYC &amp; @NASWNYS have authored &amp; are working to pass A10949 in the NYS…,dem
Mon Nov 05 15:08:40 +0000 2018,WBFO,.@bobmccarthybn says @NYSenate races are the most important this midterm. He spoke earlier this morning with @WBFO… https://t.co/aJHiX03Rkv,ind
Mon Nov 05 15:00:01 +0000 2018,TUCapCon,Everything you need to know about the races that will decide control of the #nysenate on the latest @TUCapCon… https://t.co/3Cved8qByr,ind
Mon Nov 05 14:50:08 +0000 2018,ZaRdOz420WPN,"RT @IamAnuNaik: #WhenWeAllVote #WhenWeAllRise
This will be our reality 
#NYHealthAct Save 20M lives 
#SinglePayerSunday 

Call @nysenate  5…",dem
Mon Nov 05 14:49:09 +0000 2018,senatorlanza,The new auxiliary lane between Victory Blvd. and Muldoon Ave/Arden Ave. will reduce congestion along this notorious… https://t.co/gWoZPReGVj,ind
Mon Nov 05 14:44:17 +0000 2018,senatorlanza,"https://t.co/XJ77uD0IfA

The new auxiliary lane... https://t.co/XJ77uD0IfA",ind
Mon Nov 05 14:29:24 +0000 2018,SerrinsLaw,A friendly reminder to New Yorkers - if your work schedule tomorrow does not allow for four hours of free time whil… https://t.co/ftmdnXpiAA,ind
